CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,naive_bayes_level_months_inactive_12_mon_1,naive_bayes_level_months_inactive_12_mon_2
712412958,Existing Customer,41,F,3,Doctorate,Married,$40K - $60K,Silver,33,1,1,2,18266,822,17444,0.875,14615,124,0.797,0.045,7.47E-05,0.99993
716296833,Existing Customer,56,M,0,Doctorate,Single,$80K - $120K,Blue,47,2,1,2,7204,0,7204,0.803,14042,113,0.766,0,6.84E-05,0.99993
718663983,Existing Customer,38,F,1,Doctorate,Single,Less than $40K,Blue,36,2,2,2,3466,2517,949,0.699,13140,94,0.709,0.726,0.0001546,0.99985
711706458,Existing Customer,44,M,4,Doctorate,Married,$80K - $120K,Blue,27,1,2,1,24134,1290,22844,0.814,13311,110,0.642,0.053,0.00010417,0.9999
714003483,Existing Customer,37,M,1,Doctorate,Unknown,$60K - $80K,Blue,36,1,3,1,7539,0,7539,1.023,15293,129,0.743,0,0.00014734,0.99985
712195383,Existing Customer,37,F,0,Doctorate,Single,Less than $40K,Blue,36,2,2,3,9178,1585,7593,0.617,14932,110,0.803,0.173,0.00023771,0.99976
770926158,Existing Customer,51,F,0,Doctorate,Single,Less than $40K,Blue,38,2,2,2,4132,2517,1615,0.786,13820,129,0.697,0.609,0.00014134,0.99986
719368533,Existing Customer,41,F,2,Doctorate,Married,Unknown,Silver,28,1,3,3,32250,1289,30961,0.703,15785,100,0.786,0.04,0.00039552,0.9996
721211433,Existing Customer,42,M,4,Doctorate,Single,$60K - $80K,Blue,31,2,2,2,3322,0,3322,0.758,13784,108,0.588,0,0.00017274,0.99983
712104333,Existing Customer,57,F,2,Doctorate,Single,Less than $40K,Blue,44,2,2,3,9149,1254,7895,0.762,14401,100,0.754,0.137,0.00027701,0.99972
717464958,Existing Customer,55,F,2,Doctorate,Married,Less than $40K,Silver,36,3,2,1,10858,0,10858,0.787,14475,111,0.682,0,8.98E-05,0.99991
715052583,Existing Customer,45,M,3,Doctorate,Single,$60K - $80K,Silver,34,3,3,1,27494,879,26615,0.671,14375,112,0.672,0.032,0.00014718,0.99985
719270358,Existing Customer,57,F,2,Doctorate,Divorced,$40K - $60K,Blue,48,2,2,2,4288,1678,2610,0.643,15505,113,0.687,0.391,0.00016471,0.99984
758617233,Existing Customer,56,F,5,Doctorate,Single,Less than $40K,Blue,49,3,3,2,4132,1559,2573,0.827,14781,108,0.688,0.377,0.00026871,0.99973
710858658,Existing Customer,48,F,4,Doctorate,Divorced,Less than $40K,Silver,38,2,1,2,10610,0,10610,0.664,15050,108,0.742,0,7.55E-05,0.99992
709385133,Existing Customer,42,F,2,Doctorate,Married,Unknown,Blue,30,4,3,5,14828,1513,13315,0.748,15572,113,0.614,0.102,0.0012912,0.99871
779140533,Existing Customer,49,M,2,Doctorate,Married,$120K +,Blue,34,3,6,4,27124,2311,24813,0.73,15195,121,0.729,0.085,0.00058941,0.99941
720237408,Existing Customer,59,M,1,Doctorate,Single,$80K - $120K,Blue,49,4,2,2,22715,707,22008,0.848,15004,117,0.887,0.031,0.0001546,0.99985
768728508,Existing Customer,45,F,5,Doctorate,Married,Less than $40K,Gold,39,6,3,2,15987,1096,14891,0.625,14209,103,0.776,0.069,0.00030958,0.99969
719934783,Existing Customer,43,M,3,Doctorate,Married,$80K - $120K,Blue,27,4,2,2,3676,673,3003,0.629,14651,105,0.78,0.183,0.00017091,0.99983
712260633,Existing Customer,47,F,5,Doctorate,Single,Unknown,Blue,36,4,1,4,26923,2461,24462,0.602,13643,94,0.918,0.091,0.0002361,0.99976
780097533,Existing Customer,48,M,3,Doctorate,Divorced,$80K - $120K,Blue,33,4,1,2,10292,0,10292,0.656,15148,111,0.79,0,8.27E-05,0.99992
816517683,Existing Customer,38,F,2,Doctorate,Married,Less than $40K,Blue,33,4,3,3,7530,1336,6194,0.749,14719,115,0.855,0.177,0.00043772,0.99956
771982083,Existing Customer,44,M,4,Doctorate,Married,$80K - $120K,Blue,33,3,1,3,4552,1144,3408,0.709,14418,104,0.677,0.251,0.00014059,0.99986
,,,,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,,,
